problemSize,Avg_Speedup,Avg_Optimal_Speedup,Avg_Efficiency
68,0.26377297806530114,3.75,0.2535829026959299
132,0.26378621674339914,3.75,0.25351783219660246
516,0.26398359153363077,3.75,0.2535635080618603
1028,0.2629289945131994,3.75,0.2534472375043732
2052,0.26264181257189606,3.75,0.2531852467976264
4100,0.2632205286873006,3.75,0.2533874822492069
8196,0.2622779855976337,3.75,0.253190562172376
16388,0.26186650944309386,3.75,0.2530903112850942
32772,0.26058333183276206,3.75,0.25261862734090434
65540,0.2573322721650099,3.75,0.25195948038671206
131076,0.2580742562162296,3.75,0.2518565103798922
262148,0.2557057177934901,3.75,0.2512885211843095
524292,0.2536556580563715,3.75,0.2507561188695866
1048580,0.25231964561554204,3.75,0.25049673140517503
2097156,0.2515193423127583,3.75,0.25033455857956605
